Course Name,Provider,Skills,Rating,Total Reviews,Level,Duration
Meta Database Engineer,Meta,"MySQL, Database Design, Version Control, Database Management Systems, Database Management, MySQL Workbench, Extract, Transform, Load, Data Modeling, Data Structures, SQL, Unix Commands, Relational Databases, Databases, Git (Version Control System), Database Systems, GitHub, Stored Procedure, Object Oriented Programming (OOP), Database Administration, Database Development",4.6,7.3K reviews,Beginner Â,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,"Cloud Infrastructure, Identity and Access Management, Kubernetes, Google Cloud Platform, Prompt Engineering, Cloud Storage, Containerization, Infrastructure As A Service (IaaS), Terraform, Cloud Computing Architecture, Cloud Management, Cloud Services, Load Balancing, Cloud Engineering, Application Deployment, Infrastructure as Code (IaC), Virtual Machines, Data Storage Technologies, Cloud Computing, Docker (Software)",4.7,59K reviews,Intermediate Â,3 - 6 Months
Microsoft Project Management,Microsoft,"Stakeholder Management, Virtual Teams, Scheduling, Team Management, Conflict Management, Project Schedules, Project Management Life Cycle, Project Management Office (PMO), Project Coordination, Excel Formulas, Procurement, Kanban Principles, Performance Measurement, Strategic Communication, Leadership, Risk Management, Communication, Planning, Project Management, Budgeting",4.6,556 reviews,Beginner Â,3 - 6 Months
Microsoft Python Development,Microsoft,"Web Scraping, Data Structures, Git (Version Control System), Generative AI, Version Control, Matplotlib, Plotly, DevOps, Agile Methodology, Web Development, Data Ethics, Flask (Web Framework), Data Visualization, Scripting, GitHub, Debugging, Data Cleansing, Data Analysis, Automation, Cloud Computing",4.4,415 reviews,Beginner Â,3 - 6 Months
Epic Games Game Design,Epic Games,"Unreal Engine, Game Design, Video Game Development, Animation and Game Design, Ideation, 3D Modeling, Visualization (Computer Graphics), Software Documentation, Software Design Documents, User Experience Design, Computer Graphics, Usability, User Interface (UI), User Experience, User Interface (UI) Design, Interactive Design, Virtual Environment, Version Control, Conceptual Design, Prototyping",4.3,449 reviews,Beginner Â,3 - 6 Months
Meta Data Analyst,Meta,"Data Storytelling, Data Presentation, Business Metrics, Key Performance Indicators (KPIs), Data Management, Data Collection, Data Governance, Bayesian Statistics, Data Visualization, Descriptive Statistics, Statistical Hypothesis Testing, Information Privacy, Data Cleansing, Pandas (Python Package), Data Analysis, Data Visualization Software, Spreadsheet Software, Exploratory Data Analysis, SQL, Python Programming",4.7,1.6K reviews,Beginner Â,3 - 6 Months
AWS Cloud Technology Consultant,Amazon Web Services,"AWS Identity and Access Management (IAM), Infrastructure as Code (IaC), Amazon CloudWatch, AWS CloudFormation, Amazon DynamoDB, Software Development Life Cycle, CI/CD, Amazon Web Services, Professional Networking, IT Automation, Cloud Computing, Amazon S3, Extract, Transform, Load, DevOps, Software Architecture, Cloud Computing Architecture, Cloud Management, Data Management, Problem Solving, Teamwork",4.8,6.8K reviews,Beginner Â,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Developer,Google Cloud,"Cloud Applications, Google Cloud Platform, Containerization, Cloud Infrastructure, Application Deployment, Prompt Engineering, CI/CD, Kubernetes, Cloud Development, Microservices, Docker (Software), Application Development, Serverless Computing, Identity and Access Management, Cloud Services, Virtual Machines, Generative AI, Cloud Computing, Cloud Storage, Debugging",4.7,49K reviews,Intermediate Â,3 - 6 Months
AWS Cloud Support Associate,Amazon Web Services,"AWS Identity and Access Management (IAM), Infrastructure as Code (IaC), Command-Line Interface, Amazon CloudWatch, AWS CloudFormation, Root Cause Analysis, Amazon DynamoDB, Customer Relationship Building, Network Troubleshooting, Amazon Web Services, Customer Relationship Management, Software Architecture, IT Automation, Linux Commands, Cloud Computing, Technical Support, Web Applications, Information Technology, Customer Service, Software Development",4.8,6.6K reviews,Beginner Â,3 - 6 Months
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,"Feature Engineering, MLOps (Machine Learning Operations), Prompt Engineering, Google Cloud Platform, Generative AI, Tensorflow, Keras (Neural Network Library), Apache Airflow, Cloud Infrastructure, CI/CD, Artificial Intelligence and Machine Learning (AI/ML), Data Pipelines, Dataflow, Systems Design, Cloud Platforms, Data Management, Data Governance, Hybrid Cloud Computing, Machine Learning, Cloud Computing",4.4,4.9K reviews,Intermediate Â,3 - 6 Months
Preparing for Google Cloud Certification: Cloud DevOps Engineer,Google Cloud,"Site Reliability Engineering, Kubernetes, Application Performance Management, Google Cloud Platform, Cloud Infrastructure, System Monitoring, Prompt Engineering, Application Deployment, Identity and Access Management, CI/CD, Containerization, Cloud Storage, Cloud Security, Cloud Services, Cloud Management, Service Level Agreement, Virtual Machines, Safety Culture, Event Monitoring, Culture Transformation",4.7,54K reviews,Beginner Â,3 - 6 Months
Amazon Junior Software Developer,Amazon,"Git (Version Control System), Software Development Methodologies, JUnit, Requirements Analysis, Version Control, Application Development, Software Development Life Cycle, SQL, Full-Stack Web Development, Test Driven Development (TDD), Systems Development, Software Development, Restful API, Object Oriented Programming (OOP), Object Oriented Design, Database Management, MySQL, Digital Transformation, Java Programming, Generative AI",4.5,383 reviews,Beginner Â,3 - 6 Months
AWS Cloud Solutions Architect,Amazon Web Services,"AWS Identity and Access Management (IAM), Amazon CloudWatch, Data Lakes, Amazon DynamoDB, Amazon Web Services, Serverless Computing, Cloud Computing, Amazon S3, Scalability, Amazon Elastic Compute Cloud, Event-Driven Programming, Cloud Security, Solution Architecture, Data Visualization, Cloud Storage, Data Architecture, Software Architecture, Cloud Computing Architecture, API Gateway, Hybrid Cloud Computing",4.8,6.8K reviews,Intermediate Â,3 - 6 Months
Google Cloud Digital Leader Training,Google Cloud,"Cloud Management, Serverless Computing, Google Cloud Platform, Digital Transformation, Data Governance, Cloud Services, Distributed Denial-Of-Service (DDoS) Attacks, Cloud Security, Cloud Infrastructure, Application Programming Interface (API), Real Time Data, Tensorflow, Data Management, Hybrid Cloud Computing, Data Warehousing, Artificial Intelligence, Infrastructure As A Service (IaaS), Cloud Computing, Big Data, Data Security",4.8,4.7K reviews,Beginner Â,3 - 6 Months
IBM Machine Learning,IBM,"Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Generative AI, Regression Analysis, Dimensionality Reduction, Reinforcement Learning, Deep Learning, Data Analysis, Statistical Inference, Applied Machine Learning, Predictive Modeling, Statistical Hypothesis Testing, Data Processing, Statistical Analysis, Machine Learning Algorithms, Machine Learning, Data Science, Python Programming",4.6,3.3K reviews,Intermediate Â,3 - 6 Months
NASM Personal Fitness Trainer,National Academy of Sports Medicine,"Goal Setting, Kinesiology, Nutrition and Diet, Health Assessment, Nutrition Education, Preventative Care, Public Health and Disease Prevention, Patient Education And Counseling, Respiration, Train The Trainer, Chronic Diseases, Patient Evaluation, Physical Therapy, Rehabilitation, Injury Prevention, Neurology, Automated External Defibrillator, Cardiopulmonary Resuscitation (CPR), Overcoming Obstacles, Coaching",4.8,220 reviews,Beginner Â,3 - 6 Months
Microsoft Cybersecurity Analyst,Microsoft,"Threat Modeling, MITRE ATT&CK Framework, Penetration Testing, Azure Active Directory, Network Security, Computer Systems, Security Information and Event Management (SIEM), Security Testing, Encryption, Cybersecurity, System Testing, Cloud Security, Threat Management, Vulnerability Scanning, Cloud Computing, Business Software, Authentications, Active Directory, Data Management, Computer Security Incident Management",4.7,2.7K reviews,Beginner Â,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,"Application Performance Management, Distributed Denial-Of-Service (DDoS) Attacks, Google Cloud Platform, Kubernetes, Cloud Infrastructure, Identity and Access Management, Data Loss Prevention, Load Balancing, System Monitoring, Prompt Engineering, Network Monitoring, Containerization, Cloud Computing Architecture, Network Architecture, Role-Based Access Control (RBAC), Network Security, OAuth, Network Routing, Cloud Security, Virtual Private Networks (VPN)",4.7,50K reviews,Intermediate Â,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,"Application Performance Management, Distributed Denial-Of-Service (DDoS) Attacks, Google Cloud Platform, Cloud Infrastructure, Load Balancing, System Monitoring, Prompt Engineering, Kubernetes, Network Performance Management, Network Monitoring, Containerization, Cloud Computing Architecture, Network Architecture, Network Security, Cloud Storage, Cloud Services, Identity and Access Management, Network Routing, Virtual Private Networks (VPN), Network Troubleshooting",4.7,50K reviews,Intermediate Â,3 - 6 Months
IBM UI/UX Designer,IBM,"User Story, Information Architecture, UI/UX Research, User Research, User Interface and User Experience (UI/UX) Design, Design Thinking, User Experience, Agile Software Development, Scrum (Software Development), User Centered Design, Agile Methodology, Usability, Design Research, Usability Testing, Responsive Web Design, Kanban Principles, User Interface (UI), Figma (Design Software), Wireframing, Prototyping",4.9,2.6K reviews,Beginner Â,3 - 6 Months
IBM Program Manager,IBM,"User Story, Program Management, Stakeholder Management, Resource Allocation, Stakeholder Engagement, Agile Software Development, Scrum (Software Development), Agile Methodology, Kanban Principles, Project Management Life Cycle, Backlogs, Change Management, Project Management Office (PMO), Sprint Retrospectives, Agile Project Management, Organizational Strategy, Risk Management, Project Management, Generative AI Agents, Leadership",4.8,2.7K reviews,Beginner Â,3 - 6 Months
Salesforce Sales Operations,Salesforce,"Sales Pipelines, Sales Process, Sales Operations, Customer Success Management, Order Management, Sales Management, Salesforce, Dashboard, Sales, Sales Development, Lead Generation, Request For Quotation (RFQ), Sales Support, Customer Relationship Management, Sales Enablement, Product Knowledge, B2B Sales, Campaign Management, Data Visualization, Sales Training",4.6,2K reviews,Beginner Â,3 - 6 Months
Microsoft Full-Stack Developer,Microsoft,"CI/CD, GitHub, C# (Programming Language), HTML and CSS, Load Balancing, Continuous Integration, Git (Version Control System), Role-Based Access Control (RBAC), Scalability, Object Oriented Programming (OOP), Authentications, ASP.NET, Full-Stack Web Development, Web Development, Debugging, SQL, Application Deployment, Microsoft Copilot, .NET Framework, Graph Theory",4.5,220 reviews,Beginner Â,3 - 6 Months
AAPC Medical Biller,AAPC,"ICD Coding (ICD-9/ICD-10), Medical Billing and Coding, Patient Registration, Billing, Billing Systems, Accounts Receivable, Payment Processing and Collection, Medical Records, Billing & Invoicing, Insurance, Medicare, Health Information Management, Health Systems, Medical Terminology, Health Care Procedure and Regulation, Healthcare Industry Knowledge, Administration, Regulatory Compliance",4.8,34 reviews,Beginner Â,3 - 6 Months
Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud,"Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Maintenance, Data Lakes, Data Storage, MLOps (Machine Learning Operations), Data Analysis, Dashboard, Data Warehousing, Data Processing, Extract, Transform, Load, Cloud Engineering, Data Infrastructure, Cloud Infrastructure, Apache Airflow, Cloud Storage, Big Data, Tensorflow",4.6,19K reviews,Intermediate Â,3 - 6 Months
SAP Business Analyst,SAP,"User Story, Business Process Modeling, Risk Analysis, Performance Measurement, Stakeholder Management, Process Analysis, Business Analysis, Risk Management, Requirements Elicitation, Requirements Management, Process Mapping, Stakeholder Engagement, Process Improvement, Business Systems Analysis, Business Risk Management, Gap Analysis, Enterprise Risk Management (ERM), Stakeholder Communications, Business Requirements, User Requirements Documents",4.4,70 reviews,Beginner Â,3 - 6 Months
Tableau Business Intelligence Analyst,Tableau Learning Partner,"Data Storytelling, Exploratory Data Analysis, Requirements Elicitation, Data Presentation, Data Governance, Data Ethics, Tableau Software, Business Analysis, Data Literacy, Data Visualization, Data Visualization Software, Data Warehousing, Business Metrics, Dashboard, Statistical Visualization, Extract, Transform, Load, Data Analysis, Spatial Data Analysis, Data Quality, Data Management",4.7,1K reviews,Beginner Â,3 - 6 Months
Microsoft AI & ML Engineering,Microsoft,"Unsupervised Learning, Generative AI, Large Language Modeling, Data Management, Natural Language Processing, MLOps (Machine Learning Operations), Supervised Learning, Microsoft Azure, Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Infrastructure Architecture, Cloud Infrastructure, Generative AI Agents, Applied Machine Learning, Reinforcement Learning, Data Ethics, Prompt Engineering, Data Processing, Artificial Intelligence, Application Deployment",4.6,211 reviews,Intermediate Â,3 - 6 Months
Johns Hopkins Medical Office Manager,Johns Hopkins University,"Medical Billing and Coding, Patient Registration, Care Management, Medical Privacy, Revenue Cycle Management, Practice Management, Organizational Change, Change Management, Performance Review, Data Management, ICD Coding (ICD-9/ICD-10), Medical Terminology, Claims Processing, Patient Safety, Continuous Quality Improvement (CQI), Case Management, Data Integrity, Health Systems, Healthcare Industry Knowledge, Data Analysis",4.7,119 reviews,Beginner Â,3 - 6 Months
IBM Ethical Hacking with Open Source Tools,IBM,"Threat Detection, Penetration Testing, Cyber Threat Intelligence, Threat Management, Incident Response, Vulnerability Scanning, Cyber Security Assessment, Vulnerability Assessments, Network Security, Network Monitoring, Bash (Scripting Language), Network Troubleshooting, Anomaly Detection, Cybersecurity, Cyber Security Policies, Vulnerability, Data Ethics, Network Protocols, System Configuration, Network Analysis",4.7,64 reviews,Intermediate Â,3 - 6 Months
Microsoft SQL Server,Microsoft,"Stored Procedure, Star Schema, Microsoft SQL Servers, Database Design, Relational Databases, Data Integrity, Data Integration, SQL, Transaction Processing, Power BI, Data Warehousing, Database Management, Transact-SQL, Data Maintenance, Databases, Query Languages, Database Architecture and Administration, Database Management Systems, Database Systems, Data Management",4.2,51 reviews,Beginner Â,3 - 6 Months
